source,target
destilasi,distilasi
ditambahin,ditambahkan
dollar,dolar
dosn,dosen
drainage,drainase
dramatisir,dramatisasi
dduk,duduk
dudukny,duduknya
dlu,dulu
duren,durian
dsn,dusun
efektip,efektif
extra,ekstra
ektrim,ekstrem
ekstrimis,ekstremis
ektstrovert,ekstrover
elit,elite
emg,emang
emng,emang
hembus,embus
ajib,enak
enag,enak
ntr,entar
nt,ente
esei,esai
faksimil,faksimile
pebruari,februari
pondasi,fondasi
formil,formal
photo,foto
photokopi,fotokopi
fotosintesa,fotosintesis
frase,frasa
frekwensi,frekuensi
gbungkn,gabungkan
ghaib,gaib
gpp,gak papa
gmpng,gampang
ggu,ganggu
gnggu,ganggu
gy,gaya
gd,gede
gde,gede
gladi,geladi
gilak,gila
gmn,gimana
gmna,gimana
gt,gitu
gtu,gitu
giji,gizi
greng,goreng
gria,griya
goa,gua
gubug,gubuk
gudek,gudeg
guwe,gue
gw,gue
gn,guna
abis,habis
hbis,habis
hbs,habis
hadist,hadis
apal,hafal
hapal,hafal
hapal,hafal
hapalin,hafalkan
hey,hai
heyy,hai
hoi,hai
hakekat,hakikat
amsyong,hancur
hp,handphone
anged,hangat
anget,hangat
doang,hanya
apus,hapus
hrp,harap
hrg,harga
hr,hari
hri,hari
hrs,harus
hrus,harus
hsil,hasil
hsl,hasil
hti,hati
ati2,hati-hati
ht2,hati-hati
ti2,hati-hati
titi,hati-hati
hbt,hebat
hektar,hektare
hirarki,hierarki
hipotesa,hipotesis
hbgn,hubungan
hbngn,hubungan
hub,hubungan
hrf,huruf
emak,ibu
ijasah,ijazah
ihlas,ikhlas
ngikut,ikut
himbau,imbau
indra,indera
influensa,influenza
infra merah,inframerah
inpus,infus
igtkn,ingatkan
pengen,ingin
pingin,ingin
ni,ini
insyaf,insaf
inteligen,intelijen
inten,intens
interprestasi,interpretasi
intrupsi,interupsi
hisap,isap
islam,Islam
islamiyah,islamiah
istighfar,istigfar
istirht,istirahat
isteri,istri
isteri,istri
intermezo,itermeso
ijin,izin
jd,jadi
jdi,jadi
jadual,jadwal
jagad,jagat
jakt,jakarta
jl,jalan
jlan,jalan
jln,jalan
jgan,jangan
jgn,jangan
jngn,jangan
jrg,jarang
jrng,jarang
jwb,jawab
jwbnya,jawabnya
jlek,jelek
jamaah,jemaah
jenasah,jenazah
jendral,jenderal
yudo,judo
jg,juga
ju2r,jujur
jmt,jumat
jml,jumlah
jmlh,jumlah
yunior,junior
agan,juragan
gan,juragan
jubir,juru bicara
jur,jurusan
jursn,jurusan
justeru,justru
kaco,kacau
kdg,kadang
kdng,kadang
kga,kagak
kgk,kagak
kaedah,kaidah
klo,kalau
kl,kalau
klau,kalau
klw,kalau
x,kali
choy,kalian
coy,kalian
cuy,kalian
kmpung,kampung
elo,kamu
elu ,kamu
ente,kamu
lo,kamu
lu,kamu
km,kamu
kmu,kamu
qm,kamu
kangker,kanker
kpn,kapan
karna,karena
karna,karena
krn,karena
krna,karena
krny,karenanya
karir,karier
kharisma,karisma
kharisma,karisma
karisma,karismatik
kharismatik,karismatik
cian,kasihan
kasian,kasihan
kesian,kasihan
katalisa,katalisis
ktny,katanya
ktnya,katanya
kwn,kawan
ky,kayak
kyk,kayak
kykny,kayaknya
kcewa,kecewa
kcl,kecil
kadaluwarsa,kedaluwarsa
kedelei,kedelai
klakuan,kelakuan
klmpok,kelompok
kluarkn,keluarkan
kmana,kemana
kmren,kemaren
kmarin,kemarin
kmrn,kemarin
balikin,kembalian
kple,kembaran
kmnangan,kemenangan
napa,kenapa
knp,kenapa
npa,kenapa
kendor,kendur
kpolisian,kepolisian
krja,kerja
ksl,kesel
kzl,kesel
sni,kesini
ktawa,ketawa
ketidurn,ketiduran
kturunan,keturunan
khutbah,khotbah
krm,kirim
client,klien
keloter,kloter
koboy,koboi
komersil,komersial
komplek,kompleks
komplit,komplet
komfirmasi,konfirmasi
kongkrit,kongkret
konkrit,konkret
konsekwensi,konsekuensi
krea,korea
konsleting,korsleting
kosa kata,kosakata
buluk,kotor
kreatip,kreatif
kreatifitas,kreativitas
kwalitas,kualitas
kwarsa,kuarsa
kwitansi,kuitansi
kulyh,kuliah
kul,kuliah
kworum,kuorum
krg,kurang
krg ,kurang
krng,kurang
cungkring,kurus
bangsat,kutu busuk
lapal,lafal
lg,lagi
lgi,lagi
lgu,lagu
lk,laki
lgsg,langsung
lgsung,langsung
lt,lantai
laper,lapar
lpr,lapor
lbh,lebih
lbih,lebih
legalisir,legalisasi
lembab,lembap
lembiru,lempar ganti baru
lht,lihat
cepek,lima puluh ribu
warbyasa,luar biasa
lobang,lubang
lp,lupa
lpa,lupa
5f,maaf
maap,maaf
mav,maaf
mf,maaf
mcem,macam
mcm,macam
mhs,mahasiswa
mhsw,mahasiswa
maba,mahasiswa baru
mkn,makan
mkny,makanya
mksh,makasih
maks,maksimal
mks,maksimal
mksd,maksud
mksudku,maksudku
mlh,malah
mlm,malam
malming,malam minggu
mager,malas
males,malas
mls,malas
mlu,malu
mmpu,mampu
mn,mana
mna,mana
managemen,manajemen
manager,manajer
mangkok,mangkuk
mantera,mantra
mrh,marah
mz,mas
mslh,masalah
msh,masih
mesjid,masjid
msk,masuk
msuk,masuk
mo,mau
mw,mau
mlekat,melekat
mmang,memang
mmg,memang
bonyok,memar
ngebela,membela
betulin,membetulkan
mempengaruhi,memengaruhi
ngingetin,memngingatkan
mmpelajari,memperlajari
mnang,menang
nyari,mencari
mcerna,mencerna
menyolok,mencolok
deketin,mendekati
dengerin,mendengarkan
duain,menduakan
ngalah,mengalah
ngapa,mengapa
ngapain,mengapa
arahin,mengarahkan
mngena,mengena
mngrti,mengerti
mgnggu,mengganggu
ngikutin,mengikuti
mengkonsumsi,mengonsumsi
merubah,mengubah
mngusap,mengusap
ngibul,menipu
nggilani,menjijikan
mentri,menteri
mnrt,menurut
mnurut,menurut
mrk,merek
mreka,mereka
metoda,metode
milyar,miliar
mggu,minggu
mgu,minggu
mg,moga
onyet,monyet
motip,motif
mdh,mudah
mudh,mudah
bosenan,mudah bosan
muke,muka
mka,muka
mgk,mungkin
mgkn,mungkin
mngkn,mungkin
musyafir,musafir
nahas,naas
nahkoda,nakhoda
nnt,nanti
nnti,nanti
nti,nanti
np,napa
nafas,napas
nafas,napas
nasehat,nasihat
negatip,negatif
negri,negeri
nelp,nelpon
netto,neto
ngk,nggak
cingcong,ngomong
btw,ngomong-ngomong
nomer,nomor
nntn,nonton
notulen,notula
nopember,november
ny,nya
obyek,objek
obyektif,objektif
omset,omzet
org,orang
orng,orang
organisir,organisasi
orisinil,orisinal
pd,pada
pdhl,padahal
pg,pagi
faham,paham
faham,paham
pke,pakai
palm,palem
plg,paling
pnggil,panggil
paradok,paradoks
paramedi,paramedis
psg,pasang
psang,pasangan
psng,pasangan
pas photo,pasfoto
pasport,paspor
msti,pasti
pavilion,paviliun
pedes,pedas
cemen,penakut
penghianat,pengkhianat
pnting,penting
pnyanyi,penyanyi
piranti,peranti
prmpuan,perempuan
cabut,pergi
capcus,pergi
vermak,permak
prnah,pernah
prnh,pernah
fikir,pikir
fikir,pikir
produktip,produktif
produktifitas,produktivitas
prototif,prototipe
propinsi,provinsi
projek,proyek
pkl,pukul
pulng,pulang
pp,pulang pergi
plh,pulih
pls,pulsa
pnah,punah
pny,punya
pnya,punya
py,punya
pusng,pusing
putera,putra
puteri,putri
rangsel,ransel
rapih,rapi
rapot,rapor
rasionil,rasional
remaj,remaja
resistan,resistans
respon,respons
rematik,reumatik
rejeki,rezeki
rbu,ribu
resiko,risiko
rmh,rumah
amsyong,rusak
sdarilah,sadarilah
syah,sah
syahih,sahih
ajah,saja
aj,saja
sj,saja
seksama,saksama
slng,saling
sm,sama
sma,sama
sambel,sambal
smbil,sambil
smpe,sampai
smp,sampai
smpai,sampai
sono ,sana
bangeet,sangat
banget,sangat
bangett,sangat
bangit,sangat
buanget,sangat
bnget,sangat
sngt,sangat
snggup,sanggup
sangsi,sanksi
syaraf,saraf
sdr,saudara
sdri,saudari
saos,saus
aing,saya
gwa,saya
sy,saya
sya,saya
ayang,sayang
ayank,sayang
ayanq,sayang
bebep,sayang
cayaank,sayang
cayang,sayang
cayank,sayang
yanx,sayang
syg,sayang
sbab,sebab
sbb,sebab
sbg,sebagai
sbgn,sebagian
sbelah,sebelah
sblah,sebelah
sblm,sebelum
sbnrnya,sebenarnya
sbntr,sebentar
sbt,sebut
scr,secara
scra,secara
sdg,sedang
hiks,sedih
dikit,sedikit
sdkt,sedikit
skit,sedikit
sgl,segel
sgra,segera
sgt,segitu
sht,sehat
sekedar,sekadar
skli,sekali
skr,sekarang
skrg,sekarang
skrng,sekarang
skul,sekolah
sklh,sekolah
skolah,sekolah
sekertaris,sekretaris
slg,selagi
selaen,selain
celaloe,selalu
celalu,selalu
claloeh,selalu
clalu,selalu
sll,selalu
sllu,selalu
slu,selalu
slama,selama
clamanya,selamanya
met,selamat
slamat,selamat
slmt,selamat
slasa,selasa
slsa,selasa
slse,selesai
smkin,semakin
smlm,semalam
cemangat,semangat
cemingit,semangat
cemungut,semangat
cemungutt,semangat
smngt,semangat
smua,semau
smt,semester
smtr,semester
semi final,semifinal
smg,semogo
sempet,sempat
smpt,sempet
smw,semua
seneng,senang
snang,senang
sneng,senang
sng,senang
sndri,sendiri
snen,senin
snin,senin
hee,senyum
hehe,senyum
hehehe,senyum
xixixi,senyum
snyum,senyum
sprt,seperti
sprti,seperti
spt,seperti
spti,seperti
seprei,seprai
ceban,sepuluh ribu
se7,setuju
stuju,setuju
asem,sialan
ciank,siang
ciapa,siapa
cp,siapa
syp,siapa
sp,siapa
spa,siapa
sbuk,sibuk
nyimak,simak
cini,sini
sintesa,sintesis
circus,sirkus
sistim,sistem
sistimatis,sistematis
sekala,skala
belago,songong
belagu,songong
standarisasi,standardisasi
badmood,suasana hati buruk
subyek,subjek
dah ,sudah
uda,sudah
udh,sudah
sdh,sudah
demen,suka
naksir,suka
sumpe,sumpah
beneran,sungguhan
spy,supaya
surt,surat
survey,survei
ssh,susah
sush,susah
sutera,sutra
sahid,syahid
sukur,syukur
tbh,tabah
td,tadi
tdi,tadi
tapsiran,tafsiran
thn,tahun
nampak,tampak
tgn,tangan
tgl,tanggal
tnp,tanpa
nanya,tanya
tny,tanya
tnya,tanya
tp,tapi
tw,tau
haha,tawa
hahaha,tawa
lol,tawa
wkwk,tawa
wkwkwk,tawa
tgas,tegas
tehnik,teknik
tehnisi,teknisi
tehnologi,teknologi
tauladan,teladan
toladan,teladan
tauladan,teladan
tlah,telah
nelpon,telefon
telpon,telepon
tlp,telepon
tmn,teman
kawan2,teman-teman
t4,tempat
tmpt,tempat
tgh,tengah
tntang,tentang
ttg,tentang
tentram,tenteram
teoritis,teoretis
trampil,terampil
terbru,terburu
trdengar,terdengar
makacih,terima kasih
makasi,terima kasih
makasih,terima kasih
thx,terima kasih
trims,terima kasih
terimakasih,terima kasih
trpaksa,terpaksa
cius,terus
trs,terus
trus,terus
thesis,tesis
ttp,tetapi
engga',tidak
g,tidak
ga,tidak
gak,tidak
gk,tidak
ndak,tidak
ngak,tidak
ngga,tidak
nggak,tidak
tdk,tidak
tidk,tidak
gaada,tidak ada
gapapa,tidak apa-apa
gaenak,tidak enak
emoh,tidak mau
bobo,tidur
tdr,tidur
boboin,tidurkan
team,tim
tinggl,tinggal
tnggl,tinggal
taubat,tobat
tlg,tolong
tlng,tolong
tradisionil,tradisional
transport,transpor
triplek,tripleks
tropi,trofi
tgs,tugas
tugs,tugas
7an,tujuan
tt,tuker tambah
nulis,tulis
nunggu,tunggu
tggu,tunggu
tu2p,tutup
duit,uang
katrok,udik
ulng,ulang
univ,universita
tuk,untuk
utk,untuk
utng,untung
urgent,urgen
urin,urine
ngurus,urus
ngurusin,urus
ust,ustadz
ustad / ustadz,ustaz
hutang,utang
varitas,varietas
aduh,waduh
walo,walau
walopun,walaupun
wlpn,walaupun
walikota,wali kota
wnt,wanita
wrn,warna
wrna,warna
wasap,whatsapp
wirausaha,wira usaha
wudhu,wudu
yaa,ya
yap,ya
yha,ya
yoi,ya
yup,ya
yups,ya
y,ya
yg,yang
yng,yang
yaudah,yasudah
yutub,youtube
yutup,youtube
judikatif,yudikatif
judisial,yudisial
jurisdiksi,yurisdiksi
jaman,zaman
zam-zam,zamzam
jinah,zina
zone,zona
